"FarmID","CowID","TX_nr","Sex","Age","haircoat_colour","DateCollected","Season","pregnancy_status","TrypAdmin","Tryp1","Tryp2","Brand","Brand1","Brand2","other_brand","expiry_date","RouteOfAdmin","storage_conditions","Reason_for_treatment","ISM_DoseTypeSachet","ISM_Sachets_Used","ISM_dilution","CompetentAdmin","DZ_Sachets_Used","DZ_dilution","HM_tabs_used","HM_dilution","Girth_length","Body_condition","Abnormalities","Symptoms","presumed_diagnosis","PCV_TX","microscopy_TX","Distance","Herd_size","weight_kg","dose_mg_1","dose_mg_2","dosage_mg_kg_1","dosage_mg_kg_2","dose_description1","dose_description2","dose_description_prophylaxis","dose_description_combined","route_appropriate","adequate_admin","adequate_admin_p","PCR_TX_results","Brucei_TX","Congolense_TX","Vivax_TX","FU1_date","PCR_FU1_results","Brucei_FU1","Congolense_FU1","Vivax_FU1","FU2_date","PCR_FU2_results","Brucei_FU2","Congolense_FU2","Vivax_FU2","FU3_date","PCR_FU3_results","Brucei_FU3","Congolense_FU3","Vivax_FU3","FU4_date","PCR_FU4_results","Brucei_FU4","Congolense_FU4","Vivax_FU4","infected_TX","curative_action","prophylactic_action"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1321","1","F","1.5","red/brown/tan","14/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/03/2024","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.1","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"124","2.5","no","no symptoms","healthy","34","no","3543","603","144.1528979","100",NA,"0.693707872",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","1","0","1","0","22/06/2021","0","0","0","0","13/07/2021","0","0","0","0","10/08/2021","1","0","1","0","06/09/2021","1","1","1","0","1","success","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1322","1","F","1.5","white","14/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/03/2024","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.1","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"130","2.5","no","no symptoms","healthy","33","no","3543","603","164.9190785","100",NA,"0.606357984",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","1","0","1","0","22/06/2021","0","0","0","0","13/07/2021","0","0","0","0","10/08/2021","1","0","1","0","06/09/2021","1","1","1","0","1","success","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1323","1","F","2","red/brown/tan","14/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/03/2024","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.1","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"124","2.5","no","no symptoms","healthy","35","no","3543","603","144.1528979","100",NA,"0.693707872",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","1","1","0","0","22/06/2021","0","0","0","0","13/07/2021","0","0","0","0","10/08/2021","0","0","0","0","06/09/2021","0","0","0","0","1","success","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1324","1","F","1.5","grey","14/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/03/2024","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.1","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"136","3","no","no symptoms","healthy","33","no","3543","603","187.8138248","100",NA,"0.532442168",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","22/06/2021","0","0","0","0","13/07/2021","0","0","0","0","10/08/2021","1","1","0","0","06/09/2021","0","0","0","0","0","null","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1325","1","F","1.8","grey","14/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/03/2024","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.1","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"140","3.5","no","no symptoms","healthy","31","no","3543","603","204.3264566","100",NA,"0.489412882",NA,"underdose",NA,"underdose","non-therapeutic dose","correct","NO","NO","1","1","0","0","22/06/2021","1","1","0","0","13/07/2021","0","0","0","0","10/08/2021","0","0","0","0","06/09/2021","1","1","0","0","1","success","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1326","1","F","0.9","white","14/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/03/2024","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.1","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"114","2.5","no","no symptoms","healthy","30","yes","3543","603","113.9157902","100",NA,"0.877841428",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","22/06/2021","0","0","0","0","13/07/2021","0","0","0","0","10/08/2021","1","1","0","0","06/09/2021","0","0","0","0","0","null","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1327","1","M","0.5","red/brown/tan","14/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-C","ISM-C",NA,"ISM-C","15/10/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.1","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"136","2","yes","vesicles on mucous membranes vesicles on hooves","other","38","no","3543","603","187.8138248","100",NA,"0.532442168",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","22/06/2021","0","0","0","0","13/07/2021","0","0","0","0","10/08/2021","0","0","0","0","06/09/2021","0","0","0","0","0","null","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1328","1","M","0.9","black","14/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-C","ISM-C",NA,"ISM-C","15/10/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.1","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"128","2.5","yes","vesicles on mucous membranes vesicles on hooves","other","41","no","3543","603","157.7671107","100",NA,"0.63384567",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","22/06/2021","0","0","0","0","13/07/2021","0","0","0","0","10/08/2021","0","0","0","0","06/09/2021","1","1","0","0","0","null","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1329","1","F","5","red/brown/tan","14/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/03/2024","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.2","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"170","4.5","no","no symptoms","healthy","35","no","3543","603","364.5259138","200",NA,"0.548657839",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","22/06/2021","0","0","0","0","13/07/2021","0","0","0","0","10/08/2021","0","0","0","0","06/09/2021","0","0","0","0","0","null","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1330","1","F","2.5","red/brown/tan","14/06/2021","Dry","1","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/03/2024","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.2","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"146","4.5","no","no symptoms","healthy","38","no","3543","603","231.0725629","200",NA,"0.865528982",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","22/06/2021","0","0","0","0","13/07/2021","0","0","0","0","10/08/2021","0","0","0","0","06/09/2021","0","0","0","0","0","null","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1401","1","M","0.9","black","14/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-C","ISM-C",NA,"ISM-C","15/10/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.1","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"130","2.5","yes","vesicles on mucous membranes vesicles on hooves","other","38","no","3543","603","164.9190785","100",NA,"0.606357984",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","22/06/2021","0","0","0","0","13/07/2021","0","0","0","0","10/08/2021","0","0","0","0","06/09/2021","0","0","0","0","0","null","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1402","1","F","2","red/brown/tan","14/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/09/2024","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.2","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"158","4.5","no","no symptoms","healthy","38","no","3543","603","292.2082027","200",NA,"0.684443483",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","22/06/2021","0","0","0","0","13/07/2021","0","0","0","0","10/08/2021","0","0","0","0","06/09/2021","1","1","0","0","0","null","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1403","1","F","2","red/brown/tan","14/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/09/2024","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.2","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"158","4","no","no symptoms","healthy","36","no","3543","603","292.2082027","200",NA,"0.684443483",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","Empty",NA,NA,NA,"22/06/2021","0","0","0","0","13/07/2021","0","0","0","0","10/08/2021","1","1","0","0","06/09/2021","0","0","0","0",NA,NA,"failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1404","1","F","2","red/brown/tan","14/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/09/2024","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.2","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"148","3.5","no","no symptoms","healthy","41","no","3543","603","240.5361822","200",NA,"0.83147574",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","22/06/2021","1","1","0","0","13/07/2021","0","0","0","0","10/08/2021","1","1","0","0","06/09/2021","1","1","0","0","1","success","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1405","1","M","3.5","red/brown/tan","14/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/09/2024","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.2","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"156","4","no","no symptoms","healthy","36","no","3543","603","281.2750403","200",NA,"0.711047805",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","Empty",NA,NA,NA,"22/06/2021","0","0","0","0","13/07/2021","0","0","0","0","10/08/2021","0","0","0","0","06/09/2021","1","1","0","0",NA,NA,"failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1406","1","F","2","patches of white and brown/black/tan/red","14/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/09/2024","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.2","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"158","4","no","no symptoms","healthy","36","no","3543","603","292.2082027","200",NA,"0.684443483",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","22/06/2021","0","0","0","0","13/07/2021","0","0","0","0","10/08/2021","0","0","0","0","06/09/2021","0","0","0","0","0","null","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1342","1","F","9","red/brown/tan","14/06/2022","Dry","0","diminazine","diminazine",NA,"DA-F","DA-F",NA,NA,"15/10/2022","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","0.35","rainwater",NA,NA,"148","3.5","no","no symptoms","healthy","30","no","2441","40","240.5361822","367.5",NA,"1.527836672",NA,"underdose",NA,NA,"non-therapeutic dose","correct","NO",NA,"1","1","0","0","22/06/2022","0","0","0","0","14/07/2022","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","success",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1343","1","F","5","red/brown/tan","14/06/2022","Dry","0","diminazine","diminazine",NA,"DA-F","DA-F",NA,NA,"15/10/2022","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","0.35","rainwater",NA,NA,"146","3","no","no symptoms","healthy","30","no","2441","40","231.0725629","367.5",NA,"1.590409504",NA,"underdose",NA,NA,"non-therapeutic dose","correct","NO",NA,"0","0","0","0","22/06/2022","0","0","0","0","14/07/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1345","1","F","2.5","red/brown/tan","14/06/2022","Dry","0","diminazine","diminazine",NA,"DA-F","DA-F",NA,NA,"15/10/2022","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","0.35","rainwater",NA,NA,"148","3","no","no symptoms","healthy","32","no","2441","40","240.5361822","367.5",NA,"1.527836672",NA,"underdose",NA,NA,"non-therapeutic dose","correct","NO",NA,"0","0","0","0","22/06/2022","0","0","0","0","14/07/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1347","1","F","2.5","red/brown/tan","14/06/2022","Dry","0","diminazine","diminazine",NA,"DA-F","DA-F",NA,NA,"15/10/2022","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","0.35","rainwater",NA,NA,"142","3","yes","skin lesions","other","31","no","2441","40","212.9729868","367.5",NA,"1.725570954",NA,"underdose",NA,NA,"non-therapeutic dose","correct","NO",NA,"0","0","0","0","22/06/2022","0","0","0","0","14/07/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1350","1","F","3","red/brown/tan","14/06/2022","Dry","0","diminazine","diminazine",NA,"DA-F","DA-F",NA,NA,"15/10/2022","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","0.35","rainwater",NA,NA,"164","3","yes","rough hair coat","tryps","30","no","2441","40","326.8931384","367.5",NA,"1.124220599",NA,"underdose",NA,NA,"non-therapeutic dose","correct","NO",NA,"0","0","0","0","22/06/2022","0","0","0","0","14/07/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1351","1","F","6","red/brown/tan","14/06/2022","Dry","0","diminazine","diminazine",NA,"DA-F","DA-F",NA,NA,"15/10/2022","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","0.35","rainwater",NA,NA,"142","2.5","no","no symptoms","healthy","38","no","2441","40","212.9729868","367.5",NA,"1.725570954",NA,"underdose",NA,NA,"non-therapeutic dose","correct","NO",NA,"0","0","0","0","22/06/2022","0","0","0","0","14/07/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1353","1","F","8","red/brown/tan","14/06/2022","Dry","0","diminazine","diminazine",NA,"DA-F","DA-F",NA,NA,"15/10/2022","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","0.35","rainwater",NA,NA,"168","4","no","no symptoms","healthy","39","no","2441","40","351.6445069","367.5",NA,"1.045089551",NA,"underdose",NA,NA,"non-therapeutic dose","correct","NO",NA,"0","0","0","0","22/06/2022","1","1","0","0","14/07/2022","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","success",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1354","1","F","6","white","14/06/2022","Dry","0","diminazine","diminazine",NA,"DA-F","DA-F",NA,NA,"15/10/2022","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","0.35","rainwater",NA,NA,"148","3.5","no","no symptoms","healthy","32","no","2441","40","240.5361822","367.5",NA,"1.527836672",NA,"underdose",NA,NA,"non-therapeutic dose","correct","NO",NA,"0","0","0","0","22/06/2022","0","0","0","0","14/07/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1356","1","F","6","black","14/06/2022","Dry","0","diminazine","diminazine",NA,"DA-F","DA-F",NA,NA,"15/10/2022","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","0.35","rainwater",NA,NA,"156","2.5","no","no symptoms","healthy","29","no","2441","40","281.2750403","367.5",NA,"1.306550342",NA,"underdose",NA,NA,"non-therapeutic dose","correct","NO",NA,"1","1","0","0","22/06/2022","1","0","1","1","14/07/2022","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","success",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1359","1","F","3","red/brown/tan","14/06/2022","Dry","0","diminazine","diminazine",NA,"DA-F","DA-F",NA,NA,"15/10/2022","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","0.35","rainwater",NA,NA,"144","2.5","no","no symptoms","healthy","30","no","2441","40","221.886601","367.5",NA,"1.656251429",NA,"underdose",NA,NA,"non-therapeutic dose","correct","NO",NA,"0","0","0","0","22/06/2022","0","0","0","0","14/07/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1368","1","F","5","red/brown/tan","14/06/2022","Dry","0","diminazine","diminazine",NA,"DA-F","DA-F",NA,NA,"15/10/2022","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","0.35","rainwater",NA,NA,"144","3.5","no","no symptoms","healthy","30","no","2441","40","221.886601","367.5",NA,"1.656251429",NA,"underdose",NA,NA,"non-therapeutic dose","correct","NO",NA,"0","0","0","0","22/06/2022","0","0","0","0","14/07/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1369","1","M","2","red/brown/tan","14/06/2022","Dry","0","diminazine","diminazine",NA,"DA-F","DA-F",NA,NA,"15/10/2022","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","0.35","rainwater",NA,NA,"150","3","no","no symptoms","healthy","36","no","2441","40","250.2828149","367.5",NA,"1.468338928",NA,"underdose",NA,NA,"non-therapeutic dose","correct","NO",NA,"1","1","0","0","22/06/2022","0","0","0","0","14/07/2022","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","success",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","1600","1","M","3","red/brown/tan","27/01/2022","Short rains","0","diminazine","diminazine",NA,"DA-F","DA-F",NA,NA,"15/10/2022","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","1","oxytetracycline (OTC)",NA,NA,"144","2.5","no","no symptoms","healthy","31","yes","3388","250","221.886601","1050",NA,"4.73214694",NA,"adequate dose",NA,NA,"therapeutic dose","correct","YES",NA,"1","0","1","0","05/02/2022","0","0","0","0","24/02/2022","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","success",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","1617","1","F","2.5","white","27/01/2022","Short rains","0","diminazine","diminazine",NA,"DA-F","DA-F",NA,NA,"15/10/2022","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","1","oxytetracycline (OTC)",NA,NA,"136","2","no","no symptoms","healthy","37","no","3388","250","187.8138248","1050",NA,"5.590642762",NA,"adequate dose",NA,NA,"therapeutic dose","correct","YES",NA,"0","0","0","0","05/02/2022","0","0","0","0","24/02/2022","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","1374","1","F","3","red/brown/tan","23/02/2022","Short rains","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/09/2023","subcutaneously","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.1","bottled water","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"130","2.5","no","no symptoms","healthy","27","no","3233","150","164.9190785","100",NA,"0.606357984",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","incorrect","NO","NO","0","0","0","0","01/03/2022","0","0","0","0","25/03/2022","1","0","0","1","22/04/2022","1","1","0","0","18/05/2022","0","0","0","0","0","null","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","1375","1","F","3","red/brown/tan","23/02/2022","Short rains","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/09/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.1","bottled water","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"142","2.5","no","no symptoms","healthy","30","no","3233","150","212.9729868","100",NA,"0.469543117",NA,"underdose",NA,"underdose","non-therapeutic dose","correct","NO","NO","0","0","0","0","01/03/2022","0","0","0","0","25/03/2022","1","1","0","0","22/04/2022","0","0","0","0","18/05/2022","0","0","0","0","0","null","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","1384","1","F","6","red/brown/tan","23/02/2022","Short rains","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/09/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.1","bottled water","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"144","2.5","no","no symptoms","healthy","28","no","3233","150","221.886601","100",NA,"0.450680661",NA,"underdose",NA,"underdose","non-therapeutic dose","correct","NO","NO","0","0","0","0","01/03/2022","0","0","0","0","25/03/2022","0","0","0","0","22/04/2022","0","0","0","0","18/05/2022","1","1","0","0","0","null","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","1385","1","F","8","white","23/02/2022","Short rains","0","isometamidium homidium","isometamidium","homidium","ISM-B & HM","ISM-B","HM",NA,"15/09/2022","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.1","bottled water","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"134","2.5","no","no symptoms","healthy","30","no","3233","150","179.9374273","100",NA,"0.555748748",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","01/03/2022","0","0","0","0","25/03/2022","0","0","0","0","22/04/2022","1","1","0","0","18/05/2022","0","0","0","0","0","null","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
